Sr.,Inv #,Customer,Inv. Date,LD(Kg/p),LD Rate,LD Total,HD(Kg/p),HD Rate,HD Total,Total
1,2711,SAF SUTHRA SHAHER,2016-10-03,0,4,0,2313.1,4,9252.4,9252.4
2,2725,Shaheen Chemist F-11,2016-10-01,0,4,0,182.7,4,730.8,730.8
3,2726,KOHSAR SALT,2016-10-01,0,4,0,12.9,4,51.6,51.6
4,2732,MCC WAREHOUSE,2016-10-04,0,4,0,2100,4,8400,8400
5,2739,Save Mart (Taramri),2016-10-04,0,4,0,245,4,980,980
6,2757,Save Mart (Lala Zaar),2016-10-05,0,4,0,280,4,1120,1120
7,2758,Shaheen Chemist I-8,2016-10-13,0,4,0,165,4,660,660
8,2759,KOHSAR SALT,2016-10-13,0,4,0,51.6,4,206.4,206.4
9,2760,Save Mart Rawat,2016-10-13,0,4,0,630,4,2520,2520
10,2761,Save Mart (Taramri),2016-10-06,0,4,0,0,4,0,0
11,2762,Save Mart (Lala Zaar),2016-10-06,28.5,4,114.2,35,4,140,254.2
12,2766,Save Mart (Taramri),2016-10-06,0,4,0,0,4,0,0
13,2768,Save Mart (Taramri),2016-10-06,0,4,0,140,4,560,560
14,2777,TEHZEEB BAKERS,2016-10-05,0,4,0,0,4,0,0
15,2778,TEHZEEB BAKERS,2016-10-06,0,4,0,0,4,0,0
16,2788,SAJID SALT,2016-10-15,0,4,0,197.3,4,789.2,789.2
17,2789,MCC WAREHOUSE,2016-10-14,0,4,0,455,4,1820,1820
18,2790,Save Mart (Choor Chowk),2016-10-13,0,4,0,0,4,0,0
19,2791,Save Mart (Choor Chowk),2016-10-13,277.7,4,1111,0,4,0,1111
20,2792,Save Mart (Lala Zaar),2016-10-15,0,4,0,210,4,840,840
21,2793,Save Mart (Choor Chowk),2016-10-15,0,4,0,385,4,1540,1540
22,2799,MAAC MART,2016-10-17,0,4,0,175,4,700,700
23,2801,Save Mart (Taramri),2016-10-17,0,4,0,245,4,980,980
24,2802,Save Mart (Taramri),2016-10-17,0,4,0,53.3,4,213,213
25,2808,Save Mart (Lala Zaar),2016-10-19,245,4,980,0,4,0,980
26,2822,Save Mart (Taramri),2016-10-18,0,4,0,100.5,4,402,402
27,2823,MCC WAREHOUSE,2016-10-18,0,4,0,910,4,3640,3640
28,2824,Awan Salt Brothers,2016-10-18,0,4,0,60,4,240,240
29,2827,Awan Salt Brothers,2016-10-20,0,4,0,95,4,380,380
30,2828,KOHSAR SALT,2016-10-20,0,4,0,60,4,240,240
31,2829,Save Mart (Taramri),2016-10-20,0,4,0,175,4,700,700
32,2830,Save Mart Abpara,2016-10-20,175,4,700,0,4,0,700
33,2838,BRAND CITY   ITALIAN,2016-10-21,0,4,0,0,4,0,0
34,2847,TEHZEEB BAKERS,2016-10-06,0,4,0,0,4,0,0
35,2865,Baba Sweet ,2016-10-22,0,4,0,88.6,4,354.4,354.4
36,2866,Shaheen Chemist F-11,2016-10-22,0,4,0,360.3,4,1441,1441
37,2867,ALI BABA RESTURENT,2016-10-20,0,4,0,114.3,4,457,457
38,2868,SAIEEN JI ,2016-10-22,0,4,0,140.3,4,561,561
39,2869,Save Mart (Taramri),2016-10-22,0,4,0,350,4,1400,1400
40,2870,SAVE MART TARNOL,2016-10-21,141.4,4,565.4,350,4,1400,1965.4
41,2871,Save Mart (Choor Chowk),2016-10-21,137.6,4,550.6,420,4,1680,2230.6
42,2872,Nadeem Soap,2016-10-22,0,4,0,30.1,4,120.4,120.4
43,2877,MCC WAREHOUSE,2016-10-24,0,4,0,840,4,3360,3360
44,2879,MCC WAREHOUSE,2016-10-25,0,4,0,1050,4,4200,4200
45,2880,MCC WAREHOUSE,2016-10-24,0,4,0,840,4,3360,3360
46,2883,Nadeem Soap,2016-10-26,0,4,0,423.2,4,1692.6,1692.6
47,2884,Save Mart (Lala Zaar),2016-10-27,0,4,0,735,4,2940,2940
48,2885,MCC WAREHOUSE,2016-10-27,0,4,0,1050,4,4200,4200
49,2888,MCC WAREHOUSE,2016-10-28,0,4,0,840,4,3360,3360
50,2889,Jawa Sweet ,2016-10-28,0,4,0,117.8,4,471.2,471.2
51,2893,MAAC MART,2016-10-29,0,4,0,625.1,4,2500.4,2500.4
52,2895,Save Mart Abpara,2016-10-29,108.6,4,434.2,0,4,0,434.2
53,2896,Save Mart (Taramri),2016-10-29,0,4,0,92.5,4,370,370
,,,,,,,,,Total,75428.759971619
